symbol,sector,water_intensity,water_targets,env_score,social_score,gov_score,country
AES,Utilities,,,,,,UNITED STATES
AESI,Energy,,,,,,UNITED STATES
AEVA,Technology,,,,,,UNITED STATES
AEVAW,Technology,,,,,,UNITED STATES
AEYE,Technology,,,,,,UNITED STATES
AFBI,Financial Services,,,,,,UNITED STATES
AFCG,Real Estate,,,,,,UNITED STATES
AFG,Financial Services,,,,,,UNITED STATES
AFJK,Financial Services,,,,,,UNITED STATES
AFJKR,,,,,,,UNITED STATES
AFJKU,Financial Services,,,,,,UNITED STATES
AFL,Financial Services,,,,,,UNITED STATES
AFRI,Consumer Defensive,,,,,,GIBRALTAR
AFRIW,Consumer Defensive,,,,,,GIBRALTAR
AFRM,Technology,,,,,,UNITED STATES
AFYA,Consumer Defensive,,,,,,BRAZIL
AG,Basic Materials,,,,,,CANADA
AGAE,Communication Services,,,,,,UNITED STATES
AGCO,Industrials,,,,,,UNITED STATES
AGEN,Healthcare,,,,,,UNITED STATES
AGH,Consumer Cyclical,,,,,,UNITED STATES
AGI,Basic Materials,,,,,,CANADA
AGIO,Healthcare,,,,,,UNITED STATES
AGL,Healthcare,,,,,,UNITED STATES
AGM,Financial Services,,,,,,UNITED STATES
AGM-A,Financial Services,,,,,,UNITED STATES
AGMH,Technology,,,,,,HONG KONG
AGNC,Real Estate,,,,,,UNITED STATES
AGNCL,Real Estate,,,,,,UNITED STATES
AGNCM,Real Estate,,,,,,UNITED STATES
AGNCN,Real Estate,,,,,,UNITED STATES
AGNCO,Real Estate,,,,,,UNITED STATES
AGNCP,Real Estate,,,,,,UNITED STATES
AGO,Financial Services,,,,,,BERMUDA
AGRI,Consumer Defensive,,,,,,CANADA
AGRO,Consumer Defensive,,,,,,LUXEMBOURG
AGRZ,Consumer Defensive,,,,,,MALAYSIA
AGX,Industrials,,,,,,UNITED STATES
AGYS,Technology,,,,,,UNITED STATES
AHCO,Healthcare,,,,,,UNITED STATES
AHG,Healthcare,,,,,,CHINA
AHH,Real Estate,,,,,,UNITED STATES
AHL,Financial Services,,,,,,BERMUDA
AHMA,Consumer Cyclical,,,,,,UNITED ARAB EMIRATES
AHR,Real Estate,,,,,,UNITED STATES
AHT,Real Estate,,,,,,UNITED STATES
AI,Technology,,,,,,UNITED STATES
AIFF,Technology,,,,,,UNITED STATES
AIFU,Financial Services,,,,,,CHINA
AIG,Financial Services,,,,,,UNITED STATES
AIHS,Industrials,,,,,,CHINA
AII,Financial Services,,,,,,UNITED STATES
AIIO,Consumer Cyclical,,,,,,UNITED ARAB EMIRATES
AIIOW,Consumer Cyclical,,,,,,UNITED ARAB EMIRATES
AILE,Technology,,,,,,UNITED STATES
AIMD,Technology,,,,,,UNITED STATES
AIMDW,Technology,,,,,,UNITED STATES
AIN,Consumer Cyclical,,,,,,UNITED STATES
AIO,Financial Services,,,,,,UNITED STATES
AIOT,Technology,,,,,,UNITED STATES
AIP,Technology,,,,,,UNITED STATES
AIR,Industrials,,,,,,UNITED STATES
AIRE,Real Estate,,,,,,UNITED STATES
AIRG,Technology,,,,,,UNITED STATES
AIRI,Industrials,,,,,,UNITED STATES
AIRJ,Industrials,,,,,,UNITED STATES
AIRJW,Industrials,,,,,,UNITED STATES
AIRO,Industrials,,,,,,UNITED STATES
AIRS,Healthcare,,,,,,UNITED STATES
AIRT,Industrials,,,,,,UNITED STATES
AIRTP,Industrials,,,,,,UNITED STATES
AISP,Technology,,,,,,UNITED STATES
AISPW,Technology,,,,,,UNITED STATES
AIT,Industrials,,,,,,UNITED STATES
AIV,Real Estate,,,,,,UNITED STATES
AIXI,Technology,,,,,,CHINA
AIZ,Financial Services,,,,,,UNITED STATES
AJG,Financial Services,,,,,,UNITED STATES
AKA,Consumer Cyclical,,,,,,UNITED STATES
AKAM,Technology,,,,,,UNITED STATES
AKAN,Healthcare,,,,,,CANADA
AKBA,Healthcare,,,,,,UNITED STATES
AKO-A,Consumer Defensive,,,,,,CHILE
AKO-B,Consumer Defensive,,,,,,CHILE
AKR,Real Estate,,,,,,UNITED STATES
AKRO,Healthcare,,,,,,UNITED STATES
AKTX,Healthcare,,,,,,UNITED STATES
AL,Industrials,,,,,,UNITED STATES
ALAB,Technology,,,,,,UNITED STATES
ALAR,Technology,,,,,,ISRAEL
ALB,Basic Materials,,,,,,UNITED STATES
ALBT,Real Estate,,,,,,UNITED STATES
ALC,Healthcare,,,,,,SWITZERLAND
ALCO,Consumer Defensive,,,,,,UNITED STATES
ALCY,Financial Services,,,,,,UNITED STATES
ALCYU,Financial Services,,,,,,UNITED STATES
ALDF,Financial Services,,,,,,UNITED STATES
ALDFU,Financial Services,,,,,,UNITED STATES
ALDFW,Financial Services,,,,,,UNITED STATES
ALDX,Healthcare,,,,,,UNITED STATES
ALE,Utilities,,,,,,UNITED STATES
ALEC,Healthcare,,,,,,UNITED STATES
ALEX,Real Estate,,,,,,UNITED STATES
ALF,Financial Services,,,,,,UNITED STATES
ALFUU,Financial Services,,,,,,UNITED STATES
ALFUW,Financial Services,,,,,,UNITED STATES
ALG,Industrials,,,,,,UNITED STATES
ALGM,Technology,,,,,,UNITED STATES
ALGN,Healthcare,,,,,,UNITED STATES
ALGS,Healthcare,,,,,,UNITED STATES
ALGT,Industrials,,,,,,UNITED STATES
ALH,Consumer Cyclical,,,,,,UNITED STATES
ALHC,Healthcare,,,,,,UNITED STATES
ALISU,Financial Services,,,,,,UNITED STATES
ALIT,Technology,,,,,,UNITED STATES
ALK,Industrials,,,,,,UNITED STATES
ALKS,Healthcare,,,,,,IRELAND
ALKT,Technology,,,,,,UNITED STATES
ALL,Financial Services,,,,,,UNITED STATES
ALLE,Industrials,,,,,,IRELAND
ALLO,Healthcare,,,,,,UNITED STATES
ALLR,Healthcare,,,,,,UNITED STATES
ALLT,Technology,,,,,,ISRAEL
ALLY,Financial Services,,,,,,UNITED STATES
ALMS,Healthcare,,,,,,UNITED STATES
ALNT,Technology,,,,,,UNITED STATES
ALNY,Healthcare,,,,,,UNITED STATES
ALOT,Technology,,,,,,UNITED STATES
ALRM,Technology,,,,,,UNITED STATES
ALRS,Financial Services,,,,,,UNITED STATES
ALSN,Consumer Cyclical,,,,,,UNITED STATES
ALT,Healthcare,,,,,,UNITED STATES
ALTG,Industrials,,,,,,UNITED STATES
ALTI,Financial Services,,,,,,UNITED STATES
ALTO,Basic Materials,,,,,,UNITED STATES
ALTS,Technology,,,,,,UNITED STATES
ALUR,Healthcare,,,,,,UNITED STATES
ALV,Consumer Cyclical,,,,,,SWEDEN
ALVO,Healthcare,,,,,,LUXEMBOURG
ALVOW,Healthcare,,,,,,LUXEMBOURG
ALX,Real Estate,,,,,,UNITED STATES
ALXO,Healthcare,,,,,,UNITED STATES
ALYAF,Technology,,,,,,CANADA
ALZN,Healthcare,,,,,,UNITED STATES
AM,Energy,,,,,,UNITED STATES
AMAL,Financial Services,,,,,,UNITED STATES
AMAT,Technology,,,,,,UNITED STATES
AMBA,Technology,,,,,,UNITED STATES
AMBC,Financial Services,,,,,,UNITED STATES
AMBO,Consumer Defensive,,,,,,UNITED STATES
AMBP,Consumer Cyclical,,,,,,LUXEMBOURG
AMBQ,Technology,,,,,,UNITED STATES
AMBR,Technology,,,,,,SINGAPORE
AMC,Communication Services,,,,,,UNITED STATES
AMCR,Consumer Cyclical,,,,,,SWITZERLAND
AMCX,Communication Services,,,,,,UNITED STATES
AMD,Technology,,,,,,UNITED STATES
AME,Industrials,,,,,,UNITED STATES
AMG,Financial Services,,,,,,UNITED STATES
AMGN,Healthcare,,,,,,UNITED STATES
AMH,Real Estate,,,,,,UNITED STATES
AMIX,Healthcare,,,,,,UNITED STATES
AMKR,Technology,,,,,,UNITED STATES
AMLX,Healthcare,,,,,,UNITED STATES
AMN,Healthcare,,,,,,UNITED STATES
AMOD,Technology,,,,,,UNITED STATES
AMODW,Technology,,,,,,UNITED STATES
AMP,Financial Services,,,,,,UNITED STATES
AMPG,Technology,,,,,,UNITED STATES
AMPGW,Technology,,,,,,UNITED STATES
AMPH,Healthcare,,,,,,UNITED STATES
AMPL,Technology,,,,,,UNITED STATES
AMPX,Industrials,,,,,,UNITED STATES
AMPY,Energy,,,,,,UNITED STATES
AMR,Basic Materials,,,,,,UNITED STATES
AMRC,Industrials,,,,,,UNITED STATES
AMRK,Financial Services,,,,,,UNITED STATES
AMRN,Healthcare,,,,,,IRELAND
AMRX,Healthcare,,,,,,UNITED STATES
AMRZ,Basic Materials,,,,,,SWITZERLAND
AMS,Healthcare,,,,,,UNITED STATES
AMSC,Industrials,,,,,,UNITED STATES
AMSF,Financial Services,,,,,,UNITED STATES
AMST,Technology,,,,,,UNITED STATES
AMT,Real Estate,,,,,,UNITED STATES
AMTB,Financial Services,,,,,,UNITED STATES
AMTD,Financial Services,,,,,,FRANCE
AMTM,Industrials,,,,,,UNITED STATES
AMTX,Basic Materials,,,,,,UNITED STATES
AMWD,Consumer Cyclical,,,,,,UNITED STATES
AMWL,Healthcare,,,,,,UNITED STATES
AMX,Communication Services,,,,,,MEXICO
AMZE,Consumer Defensive,,,,,,UNITED STATES
AMZN,Consumer Cyclical,,,,,,UNITED STATES
AN,Consumer Cyclical,,,,,,UNITED STATES
ANAB,Healthcare,,,,,,UNITED STATES
ANDE,Consumer Defensive,,,,,,UNITED STATES
ANEB,Healthcare,,,,,,UNITED STATES
ANET,Technology,,,,,,UNITED STATES
ANF,Consumer Cyclical,,,,,,UNITED STATES
ANGH,Communication Services,,,,,,UNITED ARAB EMIRATES
ANGHW,Communication Services,,,,,,UNITED ARAB EMIRATES
ANGI,Communication Services,,,,,,UNITED STATES
ANGO,Healthcare,,,,,,UNITED STATES
ANGX,Communication Services,,,,,,UNITED STATES
ANIK,Healthcare,,,,,,UNITED STATES
ANIP,Healthcare,,,,,,UNITED STATES
ANIX,Healthcare,,,,,,UNITED STATES
ANL,Healthcare,,,,,,CAYMAN ISLANDS
ANNA,Energy,,,,,,UNITED STATES
ANNAW,Energy,,,,,,UNITED STATES
ANNX,Healthcare,,,,,,UNITED STATES
ANPA,Industrials,,,,,,HONG KONG
ANRO,Healthcare,,,,,,UNITED STATES
ANSC,Financial Services,,,,,,UNITED STATES
ANSCU,Financial Services,,,,,,UNITED STATES
ANSCW,Financial Services,,,,,,UNITED STATES
ANTA,Financial Services,,,,,,SINGAPORE
ANTE,Communication Services,,,,,,CHINA
ANTX,Healthcare,,,,,,UNITED STATES
ANVS,Healthcare,,,,,,UNITED STATES
ANY,Financial Services,,,,,,UNITED STATES
AOMR,Real Estate,,,,,,UNITED STATES
AON,Financial Services,,,,,,IRELAND
AONCW,Healthcare,,,,,,UNITED STATES
AORT,Healthcare,,,,,,UNITED STATES
AOS,Industrials,,,,,,UNITED STATES
AOSL,Technology,,,,,,UNITED STATES
AOUT,Consumer Cyclical,,,,,,UNITED STATES
AP,Industrials,,,,,,UNITED STATES
APA,Energy,,,,,,UNITED STATES
APACU,Financial Services,,,,,,UNITED STATES
APAD,Financial Services,,,,,,HONG KONG
APADR,,,,,,,HONG KONG
APADU,Financial Services,,,,,,HONG KONG
APAM,Financial Services,,,,,,UNITED STATES
APCXW,Technology,,,,,,UNITED STATES
APD,Basic Materials,,,,,,UNITED STATES
APEI,Consumer Defensive,,,,,,UNITED STATES
APG,Industrials,,,,,,UNITED STATES
APGE,Healthcare,,,,,,UNITED STATES
APH,Technology,,,,,,UNITED STATES
API,Technology,,,,,,UNITED STATES
APLD,Technology,,,,,,UNITED STATES
APLE,Real Estate,,,,,,UNITED STATES
APLM,Healthcare,,,,,,UNITED STATES
APLS,Healthcare,,,,,,UNITED STATES
APLT,Healthcare,,,,,,UNITED STATES
APM,Healthcare,,,,,,UNITED KINGDOM
APO,Financial Services,,,,,,UNITED STATES
APOG,Industrials,,,,,,UNITED STATES
APP,Communication Services,,,,,,UNITED STATES
APPF,Technology,,,,,,UNITED STATES
APPN,Technology,,,,,,UNITED STATES
APPS,Technology,,,,,,UNITED STATES
APRE,Healthcare,,,,,,UNITED STATES
APT,Industrials,,,,,,CANADA
APTV,Consumer Cyclical,,,,,,SWITZERLAND
APUS,Healthcare,,,,,,UNITED STATES
APVO,Healthcare,,,,,,UNITED STATES
APWC,Industrials,,,,,,TAIWAN
APXTU,Financial Services,,,,,,UNITED STATES
APYX,Healthcare,,,,,,UNITED STATES
AQB,Consumer Defensive,,,,,,UNITED STATES
AQMS,Industrials,,,,,,UNITED STATES
AQN,Utilities,,,,,,CANADA
AQST,Healthcare,,,,,,UNITED STATES
AR,Energy,,,,,,UNITED STATES
ARAI,Technology,,,,,,UNITED STATES
ARAY,Healthcare,,,,,,UNITED STATES
ARBB,Technology,,,,,,SINGAPORE
ARBE,Technology,,,,,,ISRAEL
ARBEW,Technology,,,,,,ISRAEL
ARBK,Financial Services,,,,,,UNITED KINGDOM
ARCB,Industrials,,,,,,UNITED STATES
ARCC,Financial Services,,,,,,UNITED STATES
ARCO,Consumer Cyclical,,,,,,URUGUAY
ARCT,Healthcare,,,,,,UNITED STATES
ARDT,Healthcare,,,,,,UNITED STATES
ARDX,Healthcare,,,,,,UNITED STATES
ARE,Real Estate,,,,,,UNITED STATES
AREB,Consumer Cyclical,,,,,,UNITED STATES
AREC,Basic Materials,,,,,,UNITED STATES
AREN,Communication Services,,,,,,UNITED STATES
ARES,Financial Services,,,,,,UNITED STATES
ARGX,Healthcare,,,,,,NETHERLANDS
ARHS,Consumer Cyclical,,,,,,UNITED STATES
ARI,Real Estate,,,,,,UNITED STATES
ARKO,Consumer Cyclical,,,,,,UNITED STATES
ARKR,Consumer Cyclical,,,,,,UNITED STATES
ARL,Real Estate,,,,,,UNITED STATES
ARLO,Industrials,,,,,,UNITED STATES
ARLP,Energy,,,,,,UNITED STATES
ARM,Technology,,,,,,UNITED KINGDOM
ARMK,Industrials,,,,,,UNITED STATES
ARMN,Basic Materials,,,,,,CANADA
ARMP,Healthcare,,,,,,UNITED STATES
AROC,Energy,,,,,,UNITED STATES
AROW,Financial Services,,,,,,UNITED STATES
ARQ,Industrials,,,,,,UNITED STATES
ARQQ,Technology,,,,,,UNITED KINGDOM
ARQQW,Technology,,,,,,UNITED KINGDOM
ARQT,Healthcare,,,,,,UNITED STATES
ARR,Real Estate,,,,,,UNITED STATES
ARRY,Technology,,,,,,UNITED STATES
ARTL,Healthcare,,,,,,UNITED STATES
ARTNA,Utilities,,,,,,UNITED STATES
ARTV,Healthcare,,,,,,UNITED STATES
ARTW,Industrials,,,,,,UNITED STATES
ARVN,Healthcare,,,,,,UNITED STATES
ARW,Technology,,,,,,UNITED STATES
ARWR,Healthcare,,,,,,UNITED STATES
ARX,Financial Services,,,,,,CAYMAN ISLANDS
AS,Consumer Cyclical,,,,,,FINLAND
ASAN,Technology,,,,,,UNITED STATES
ASB,Financial Services,,,,,,UNITED STATES
ASBP,Healthcare,,,,,,UNITED STATES
ASBPW,Healthcare,,,,,,UNITED STATES
ASC,Industrials,,,,,,BERMUDA
ASGI,Financial Services,,,,,,UNITED STATES
ASGN,Technology,,,,,,UNITED STATES
ASH,Basic Materials,,,,,,UNITED STATES
ASIC,Financial Services,,,,,,UNITED STATES
ASIX,Basic Materials,,,,,,UNITED STATES
ASLE,Industrials,,,,,,UNITED STATES
ASM,Basic Materials,,,,,,CANADA
ASMB,Healthcare,,,,,,UNITED STATES
ASML,Technology,,,,,,NETHERLANDS
ASND,Healthcare,,,,,,DENMARK
ASNS,Technology,,,,,,UNITED STATES
ASO,Consumer Cyclical,,,,,,UNITED STATES
ASPC,Financial Services,,,,,,HONG KONG
ASPCR,,,,,,,HONG KONG
ASPCU,Financial Services,,,,,,HONG KONG
ASPI,Basic Materials,,,,,,UNITED STATES
ASPN,Industrials,,,,,,UNITED STATES
ASPS,Real Estate,,,,,,LUXEMBOURG
ASPSW,Real Estate,,,,,,LUXEMBOURG
ASPSZ,Real Estate,,,,,,LUXEMBOURG
ASR,Industrials,,,,,,MEXICO
ASRT,Healthcare,,,,,,UNITED STATES
ASRV,Financial Services,,,,,,UNITED STATES
ASST,Financial Services,,,,,,UNITED STATES
ASTC,Technology,,,,,,UNITED STATES
ASTE,Industrials,,,,,,UNITED STATES
ASTH,Healthcare,,,,,,UNITED STATES
ASTI,Technology,,,,,,UNITED STATES
ASTL,Basic Materials,,,,,,CANADA
ASTLW,Basic Materials,,,,,,CANADA
ASTS,Technology,,,,,,UNITED STATES
ASUR,Technology,,,,,,UNITED STATES
ASX,Technology,,,,,,TAIWAN
ASYS,Technology,,,,,,UNITED STATES
ATAI,Healthcare,,,,,,NETHERLANDS
ATAT,Consumer Cyclical,,,,,,CHINA
ATCH,Technology,,,,,,UNITED STATES
ATEC,Healthcare,,,,,,UNITED STATES
ATEN,Technology,,,,,,UNITED STATES
ATER,Consumer Cyclical,,,,,,UNITED STATES
ATEX,Communication Services,,,,,,UNITED STATES
ATGE,Consumer Defensive,,,,,,UNITED STATES
ATGL,Technology,,,,,,HONG KONG
ATHA,Healthcare,,,,,,UNITED STATES
ATHE,Healthcare,,,,,,AUSTRALIA
ATHM,Communication Services,,,,,,CHINA
ATHR,Technology,,,,,,UNITED STATES
ATI,Industrials,,,,,,UNITED STATES
ATII,Financial Services,,,,,,UNITED STATES
ATIIU,Financial Services,,,,,,UNITED STATES
ATIIW,Financial Services,,,,,,UNITED STATES
ATKR,Industrials,,,,,,UNITED STATES
ATLC,Financial Services,,,,,,UNITED STATES
ATLCP,Financial Services,,,,,,UNITED STATES
ATLN,Industrials,,,,,,UNITED STATES
ATLO,Financial Services,,,,,,UNITED STATES
ATMC,Financial Services,,,,,,UNITED STATES
ATMCR,,,,,,,UNITED STATES
ATMCU,Financial Services,,,,,,UNITED STATES
ATMCW,Financial Services,,,,,,UNITED STATES
ATMU,Consumer Cyclical,,,,,,UNITED STATES
ATMV,Financial Services,,,,,,UNITED STATES
ATMVR,,,,,,,UNITED STATES
ATMVU,Financial Services,,,,,,UNITED STATES
ATNI,Communication Services,,,,,,UNITED STATES
ATNM,Healthcare,,,,,,UNITED STATES
ATO,Utilities,,,,,,UNITED STATES
ATOM,Technology,,,,,,UNITED STATES
ATON,Financial Services,,,,,,BRITISH VIRGIN ISLANDS
ATOS,Healthcare,,,,,,UNITED STATES
ATPC,Consumer Defensive,,,,,,MALAYSIA
ATR,Healthcare,,,,,,UNITED STATES
ATRA,Healthcare,,,,,,UNITED STATES
ATRC,Healthcare,,,,,,UNITED STATES
ATRO,Industrials,,,,,,UNITED STATES
ATS,Industrials,,,,,,CANADA
ATUS,Communication Services,,,,,,UNITED STATES
ATXG,Industrials,,,,,,CHINA
ATXS,Healthcare,,,,,,UNITED STATES
ATYR,Healthcare,,,,,,UNITED STATES
AU,Basic Materials,,,,,,UNITED STATES
AUB,Financial Services,,,,,,UNITED STATES
AUBN,Financial Services,,,,,,UNITED STATES
AUDC,Technology,,,,,,ISRAEL
AUID,Technology,,,,,,UNITED STATES
AUNA,Healthcare,,,,,,LUXEMBOURG
AUPH,Healthcare,,,,,,CANADA
AUR,Technology,,,,,,UNITED STATES
AURA,Healthcare,,,,,,UNITED STATES
AURE,Financial Services,,,,,,HONG KONG
AUROW,Technology,,,,,,UNITED STATES
AUST,Basic Materials,,,,,,CANADA
AUTL,Healthcare,,,,,,UNITED KINGDOM
AUUD,Technology,,,,,,UNITED STATES
AUUDW,Technology,,,,,,UNITED STATES
AVA,Utilities,,,,,,UNITED STATES
AVAH,Healthcare,,,,,,UNITED STATES
AVAL,Financial Services,,,,,,COLOMBIA
AVAV,Industrials,,,,,,UNITED STATES
AVB,Real Estate,,,,,,UNITED STATES
AVBC,Financial Services,,,,,,UNITED STATES
AVBP,Healthcare,,,,,,UNITED STATES
AVD,Basic Materials,,,,,,UNITED STATES
AVDL,Healthcare,,,,,,IRELAND
AVGO,Technology,,,,,,UNITED STATES
AVIR,Healthcare,,,,,,UNITED STATES
AVNS,Healthcare,,,,,,UNITED STATES
AVNT,Basic Materials,,,,,,UNITED STATES
AVNW,Technology,,,,,,UNITED STATES
AVO,Consumer Defensive,,,,,,UNITED STATES
AVPT,Technology,,,,,,UNITED STATES
AVR,Healthcare,,,,,,AUSTRALIA
AVT,Technology,,,,,,UNITED STATES
AVTR,Healthcare,,,,,,UNITED STATES
AVTX,Healthcare,,,,,,UNITED STATES
AVXL,Healthcare,,,,,,UNITED STATES
AVY,Consumer Cyclical,,,,,,UNITED STATES
AWI,Industrials,,,,,,UNITED STATES
AWK,Utilities,,,,,,UNITED STATES
AWR,Utilities,,,,,,UNITED STATES
AWRE,Technology,,,,,,UNITED STATES
AWX,Industrials,,,,,,UNITED STATES
AX,Financial Services,,,,,,UNITED STATES
AXG,Financial Services,,,,,,HONG KONG
AXGN,Healthcare,,,,,,UNITED STATES
AXIN,Financial Services,,,,,,UNITED KINGDOM
AXINR,,,,,,,UNITED KINGDOM
AXINU,Financial Services,,,,,,UNITED KINGDOM
AXL,Consumer Cyclical,,,,,,UNITED STATES
AXON,Industrials,,,,,,UNITED STATES
AXP,Financial Services,,,,,,UNITED STATES
AXR,Real Estate,,,,,,UNITED STATES
AXS,Financial Services,,,,,,BERMUDA
AXSM,Healthcare,,,,,,UNITED STATES
AXTA,Basic Materials,,,,,,UNITED STATES
AXTI,Technology,,,,,,UNITED STATES
AYI,Industrials,,,,,,UNITED STATES
AYTU,Healthcare,,,,,,UNITED STATES
AZ,Technology,,,,,,CANADA
